label,mean_wc,mean_ts,mean_co2
1,0.30507666666666666,17.271113333333332,0.4655566666666667
2,0.2947666666666667,17.861666666666665,0.49007666666666666
3,0.21364,17.94889,1.1519366666666666
4,0.27209666666666665,18,0.57081
5,0.3005833333333333,19.162223333333333,0.8912133333333333
6,0.35316333333333333,18.862223333333333,0.7412433333333334
7,0.24691000000000002,18.533333333333335,0.7948266666666667
8,0.35414,18.41111,0.76834
9,0.19616,18.34278,0.62048
10,0.21528333333333333,15.336666666666666,0.41361
11,0.33925,16.402223333333335,0.43974
12,0.3613766666666667,16.625,0.44281
13,0.24979,16.987776666666665,0.9052733333333334
14,0.2182,16.617776666666668,0.29511
15,0.28737666666666667,17.264443333333332,0.41755333333333333
16,0.27831666666666666,16.933333333333334,0.7146466666666667
17,0.18231333333333333,14.848886666666667,0.8175866666666667
18,0.27309,15.062223333333332,1.0616966666666667
19,0.27879,18.74278,0.6507066666666667
20,0.3491666666666667,18.462223333333334,0.6874866666666667
21,0.3499966666666667,19.196666666666665,1.18144
22,0.36469333333333337,18.48222,0.8594566666666666
23,0.36194,17.95,0.8814833333333333
24,0.33752,13.741113333333333,0.6940200000000001
25,0.31884,13.84611,0.66237
NA,0.309824,16.82849,0.7472113333333333
