label,mean
1,0.8058666666666666
2,0.5519466666666667
3,1.1700066666666666
4,0.5434966666666666
5,0.91357
6,0.6810166666666667
7,0.58231
8,0.6340933333333333
9,0.7240333333333333
10,0.59973
11,0.6347133333333334
12,0.6558633333333334
13,1.3065066666666667
14,0.33243333333333336
15,0.47653333333333336
16,0.7784166666666666
17,1.1767533333333333
18,1.1484233333333334
19,0.6398066666666666
20,0.7843866666666667
21,1.27232
22,0.9299866666666666
23,0.86343
24,0.8087533333333333
25,0.8330866666666666
NA,0.8048926666666667
