label,mean_wc,mean_ts,mean_co2
1,0.3065,19.16777666666667,0.6088
2,0.36546666666666666,18.666666666666668,0.55986
3,0.34963333333333335,18.142776666666666,1.2936166666666666
4,0.37248,17.43889,0.5822266666666667
5,0.3362,18.911109999999997,0.9738433333333334
6,0.3487366666666667,18.982223333333334,0.85853
7,0.2635,18.628886666666666,0.8169066666666667
8,0.28542999999999996,19.818886666666668,0.77644
9,0.2162,19.78,0.8246066666666667
10,0.23794333333333334,16.830000000000002,0.56194
11,0.34674666666666665,16.44111,0.6614733333333334
12,0.3486066666666667,16.996109999999998,0.6154166666666666
13,0.32243333333333335,20.424443333333333,1.08092
14,0.24707666666666667,20.229490000000002,0.43695666666666666
15,0.27999,17.506666666666668,0.5661833333333334
16,0.23475,17.67111,0.7756933333333333
17,0.28722666666666663,17.4,1.1346166666666666
18,0.34489000000000003,16.127776666666666,0.97776
19,0.28495333333333334,16.642223333333334,0.8646866666666667
20,0.34883333333333333,16.857776666666666,0.6469966666666667
21,0.36406666666666665,17.537223333333333,1.0750133333333334
22,0.3694233333333333,16.593333333333334,0.99702
23,0.33271,15.94889,0.7069266666666667
24,0.32192000000000004,19.29,0.85969
25,0.23789333333333335,14.378333333333334,0.8127300000000001
NA,-624.6487256249999,-608.9177087500001,0.83680375
