label,mean
1,0.39780333333333334
2,0.32060666666666665
3,0.7587900000000001
4,0.46565
5,1.2115766666666667
6,0.6681266666666666
7,0.6109966666666667
8,0.39387666666666665
9,0.7934133333333333
10,0.5909
11,0.6345966666666667
12,0.45582666666666666
13,0.5889133333333333
14,0.36650666666666665
15,0.5355333333333333
16,0.75061
17,1.0047233333333334
18,1.2123
19,0.7836466666666666
20,0.73018
21,1.0734866666666667
22,0.8973633333333333
23,0.67558
24,0.7686966666666667
25,0.87886
NA,0.8159193333333333
